number,pl_name,
1,BD-06 1339 c,
2,HD 13908 c,
3,Kepler-16 b,
4,Kapteyn c,
5,HD 43197 b,
6,HD 564 b,
7,HD 10180 g,
8,KELT-6 c,
9,HD 219415 b,
10,WASP-41 c,
11,Kepler-454 c,
12,HD 221585 b,
13,Kepler-1647 b,
14,HD 128356 b,
15,HD 165155 b,
16,HD 9174 b,
17,HD 17674 b,
18,GJ 3293 c,
19,GJ 3323 c,
20,GJ 876 e,
21,WASP-47 c,
22,BD+14 4559 b,
23,HD 100777 b,
24,HD 132406 b,
25,HD 137388 b,
26,HD 141937 b,
27,HD 16175 b,
28,HD 181720 b,
29,HD 213240 b,
30,HD 23079 b,
31,HD 63765 b,
32,HD 125612 b,
33,HD 1605 c,
34,HD 214823 b,
35,HD 10442 b,
36,HD 106270 b,
37,HD 159868 b,
38,HD 163607 c,
39,HD 18015 b,
40,HD 73534 b,
41,HD 142415 b,
42,HD 147513 b,
43,Kepler-68 d,
44,HD 109286 b,
45,HD 27969 b,
46,HD 10697 b,
47,HD 114729 b,
48,HD 114783 b,
49,HD 183263 b,
50,HD 210277 b,
51,HD 222582 b,
52,HD 34445 b,
53,HD 38529 c,
54,HD 99109 b,
55,HD 103891 b,
